Location,University name,Established,Specialization
"Srinagar, Uttarakhand",H.N.B. Garhwal University,1973,General
Dehradun,Doon University,2005,General
Pantnagar,G.B. Pant University of Agriculture and Technology,1960,Agriculture and technology
Dehradun,H.N.B. Uttarakhand Medical Education University,2014,Medicine
Nainital & Bhimtal,Kumaun University (2 campuses),1973,General
"Almora, Bageshwar & Pithoragarh",Soban Singh Jeena University,2020,General
Badhshahithaul (Tehri),Sri Dev Suman Uttarakhand University,2012,General
Almora,Uttarakhand Aawasiya Vishwavidyalaya,2016,General
Dehradun,Uttarakhand Ayurveda University,2009,Ayurveda
Haldwani,Uttarakhand Open University,2005,Distance learning
Haridwar,Uttarakhand Sanskrit University,2005,Sanskrit
Haldwani,Uttarakhand State Sports University,2025,Sports
Dehradun,Veer Madho Singh Bhandari Uttarakhand Technical University,2008,Technology
Bharsar (Pauri) and Ranichauri (Tehri),Veer Chandra Singh Garhwali Uttarakhand University of Horticulture and Forestry (2 campuses),2011,Horticulture and forestry
Dehradun,Forest Research Institute,1906,Forestry research
Haridwar,Gurukula Kangri Vishwavidyalaya^,1902,"Ancient Vedic, technology and management"
Dehradun,Graphic Era University,1993,"Engineering, Management, Humanities & Social Sciences, Commerce and Computer Applications"
Haldwani,Amrapali University,2024
Kotdwar,Bhagwant Global University,2016,Technology and management
Roorkee,College of Engineering Roorkee,1998,Engineering
Dehradun,DBS Global University,2007
Dehradun,Dev Bhoomi Uttarakhand University,2005
Haridwar,Dev Sanskriti Vishwavidyalaya,2002,"Yoga, psychology, animation, and computer science"
Dehradun,DIT University,2013,Technology and management
"Uregi, Pauri Garhwal",Ethics University,2025
"Haldwani, Bhimtal & Dehradun",Graphic Era Hill University (3 campuses),2011,Technology and management
Roorkee,Haridwar University (formerly Roorkee College Of Engineering),2010
Dehradun,IMS Unison University,2013,"Law, technology and management"
Dehradun,Jigyasa University (formerly Himgiri Zee University),2003,"Communication, technology and management"
Pauri Garhwal district,Maharaja Agrasen Himalayan Garhwal University,2016
Dehradun,Maya Devi University,2010
Bhimtal,Mind Power University,2024
Roorkee,Motherhood University (2 campuses),2015,"Law, Pharmacy, Paramedical and Management"
Roorkee,Phonics University,2009
Roorkee,Quantum University,2017,"IR 4.0 Technologies, Management and Interdisciplinary Programs, Law and Arts"
Dehradun,Ras Bihari Bose Subharti University,2016
Dehradun,Sardar Bhagwan Singh University,2018
Haridwar,Shree Om University,2007
Dehradun,Shri Guru Ram Rai University,2017,"Technology, Management and others"
Uttarkashi,Smt. Manjira Devi University,2024
Dehradun,Sparsh Himalaya University,2019
Kichha,Surajmal University,2021
Dehradun,Swami Rama Himalayan University,1989,Medicine and technology
Dehradun,"The ICFAI University, Dehradun",2003,"Law, Technology, Management, Education"
Dehradun,The University of North West Himalayas,2005
Haridwar,University of Patanjali,2006,Yoga
Dehradun,University of Petroleum and Energy Studies,2003,"Computer Science, Petroleum and energy"
Dehradun,Uttaranchal University,2013,"Law, technology and management"
